ticker,exchange,name,product_type,size,price_tick,long_margin_rate,short_margin_rate,max_market_order_volume,min_market_order_volume,max_limit_order_volume,min_limit_order_volume,delivery_year,delivery_month
jm2106,DCE,焦煤2106,Futures,60,0.5,0.05,0.05,1000,1,1000,1,2021,6
WH101,CZCE,强筋麦101,Futures,20,1.0,0.05,0.05,200,1,1000,1,2021,1
a2101,DCE,黄大豆1号2101,Futures,10,1.0,0.05,0.05,1000,1,1000,1,2021,1
b2101,DCE,黄大豆2号2101,Futures,10,1.0,0.05,0.05,1000,1,1000,1,2021,1
bb2101,DCE,胶合板2101,Futures,500,0.05,0.2,0.2,1000,1,1000,1,2021,1
c2101,DCE,黄玉米2101,Futures,10,1.0,0.05,0.05,2000,1,2000,1,2021,1
cs2101,DCE,玉米淀粉2101,Futures,10,1.0,0.05,0.05,1000,1,1000,1,2021,1
fb2101,DCE,纤维板2101,Futures,500,0.05,0.2,0.2,1000,1,1000,1,2021,1
i2101,DCE,铁矿石2101,Futures,100,0.5,0.05,0.05,1000,1,1000,1,2021,1
j2101,DCE,焦炭2101,Futures,100,0.5,0.05,0.05,500,1,500,1,2021,1
jm2101,DCE,焦煤2101,Futures,60,0.5,0.05,0.05,1000,1,1000,1,2021,1
l2101,DCE,聚乙烯2101,Futures,5,5.0,0.05,0.05,1000,1,1000,1,2021,1
m2101,DCE,豆粕2101,Futures,10,1.0,0.05,0.05,1000,1,1000,1,2021,1
p2101,DCE,棕榈油2101,Futures,10,2.0,0.05,0.05,1000,1,1000,1,2021,1
pp2101,DCE,聚丙烯2101,Futures,5,1.0,0.05,0.05,1000,1,1000,1,2021,1
v2101,DCE,聚氯乙烯2101,Futures,5,5.0,0.05,0.05,1000,1,1000,1,2021,1
y2101,DCE,豆油2101,Futures,10,2.0,0.05,0.05,1000,1,1000,1,2021,1
fu2104,SHFE,燃料油2104,Futures,10,1.0,0.2,0.2,30,1,500,1,2021,4
sc2104,INE,原油2104,Futures,1000,0.1,0.05,0.05,30,1,500,1,2021,4
eg2105,DCE,乙二醇2105,Futures,10,1.0,0.05,0.05,1000,1,1000,1,2021,5
jd2105,DCE,鲜鸡蛋2105,Futures,10,1.0,0.08,0.08,300,1,300,1,2021,5
pg2011,DCE,液化石油气2011,Futures,20,1.0,0.11,0.11,1000,1,1000,1,2020,11
pg2012,DCE,液化石油气2012,Futures,20,1.0,0.11,0.11,1000,1,1000,1,2020,12
pg2101,DCE,液化石油气2101,Futures,20,1.0,0.11,0.11,1000,1,1000,1,2021,1
pg2102,DCE,液化石油气2102,Futures,20,1.0,0.11,0.11,1000,1,1000,1,2021,2
pg2103,DCE,液化石油气2103,Futures,20,1.0,0.11,0.11,1000,1,1000,1,2021,3
pg2104,DCE,液化石油气2104,Futures,20,1.0,0.11,0.11,1000,1,1000,1,2021,4
pg2105,DCE,液化石油气2105,Futures,20,1.0,0.11,0.11,1000,1,1000,1,2021,5
pg2106,DCE,液化石油气2106,Futures,20,1.0,0.11,0.11,1000,1,1000,1,2021,6
eb2109,DCE,苯乙烯2109,Futures,5,1.0,0.12,0.12,1000,1,1000,1,2021,9
l2106,DCE,聚乙烯2106,Futures,5,5.0,0.05,0.05,1000,1,1000,1,2021,6
p2106,DCE,棕榈油2106,Futures,10,2.0,0.05,0.05,1000,1,1000,1,2021,6
pp2106,DCE,聚丙烯2106,Futures,5,1.0,0.05,0.05,1000,1,1000,1,2021,6
v2106,DCE,聚氯乙烯2106,Futures,5,5.0,0.05,0.05,1000,1,1000,1,2021,6
T2103,CFFEX,10年国债2103,Futures,10000,0.005,0.02,0.02,30,1,50,1,2021,3
